Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,source,Item_Visibility_MeanRatio,Item_Type_Aggregate,Outlet_Years
FDR28,13.85,Regular,0.025896485,Frozen Foods,165.021,OUT046,1997,Small,Tier 1,Supermarket Type1,4078.025,train,0.9296326154440037,Medium Sales,16
NCD06,13,Non-Consumable,0.099887103,Household,45.906,OUT017,2007,Small,Tier 2,Supermarket Type1,838.908,train,0.9275067672165533,High Sales,6
FDV10,7.645,Regular,0.066693437,Snack Foods,42.3112,OUT035,2004,Small,Tier 2,Supermarket Type1,1065.28,train,0.8835292524522668,High Sales,9
DRJ59,11.65,Low Fat,0.019356132,Hard Drinks,39.1164,OUT013,1987,High,Tier 3,Supermarket Type1,308.9312,train,0.9317498202269066,Medium Sales,26
FDE51,5.925,Regular,0.161466534,Dairy,45.5086,OUT010,1998,Small,Tier 3,Grocery Store,178.4344,train,1.4445814400022103,High Sales,15
FDC14,12.6,Regular,0.072221801,Canned,43.6454,OUT019,1985,Small,Tier 1,Grocery Store,125.8362,train,1.5263660738938303,High Sales,28
FDV38,19.25,Low Fat,0.170348551,Dairy,55.7956,OUT010,1998,Small,Tier 3,Grocery Store,163.7868,train,1.4641166675359905,High Sales,15
NCS17,18.6,Non-Consumable,0.080829372,Health and Hygiene,96.4436,OUT018,2009,Medium,Tier 3,Supermarket Type2,2741.7644,train,1.0031395405819457,Low Sales,4
FDP33,18.7,Low Fat,0.0930934742,Snack Foods,256.6672,OUT018,2009,Medium,Tier 3,Supermarket Type2,3068.0064,train,0.9090909090909091,High Sales,4
FDO23,17.85,Low Fat,0.14246229066666666,Breads,93.1436,OUT045,2002,Small,Tier 2,Supermarket Type1,2174.5028,train,0.8999999999999999,High Sales,11
DRH01,17.5,Low Fat,0.097904029,Soft Drinks,174.8738,OUT046,1997,Small,Tier 1,Supermarket Type1,2085.2856,train,0.9222899199987085,Low Sales,16
NCX29,10,Non-Consumable,0.089291137,Health and Hygiene,146.7102,OUT049,1999,Medium,Tier 1,Supermarket Type1,3791.0652,train,0.8760887635003263,Low Sales,14
FDV20,12.6,Regular,0.059511812,Fruits and Vegetables,128.0678,OUT027,1985,Medium,Tier 3,Supermarket Type3,2797.6916,train,0.8676854210699221,High Sales,28
DRZ11,8.85,Regular,0.113123893,Soft Drinks,122.5388,OUT018,2009,Medium,Tier 3,Supermarket Type2,1609.9044,train,1.0031395349101433,Low Sales,4
FDX10,12.6,Regular,0.123111453,Snack Foods,36.9874,OUT027,1985,Medium,Tier 3,Supermarket Type3,388.1614,train,0.9205197684191376,High Sales,28
FDB34,12.6,Low Fat,0.026480954,Snack Foods,87.6198,OUT027,1985,Medium,Tier 3,Supermarket Type3,2180.495,train,0.9251308290764402,High Sales,28
FDU02,13.35,Low Fat,0.102511504,Dairy,230.6352,OUT046,1997,Small,Tier 1,Supermarket Type1,3435.528,train,0.9222899150035627,High Sales,16
FDK43,9.8,Low Fat,0.02681843,Meat,126.002,OUT013,1987,High,Tier 3,Supermarket Type1,2150.534,train,0.9215224160526706,Medium Sales,26
FDA46,13.6,Low Fat,0.117818348,Snack Foods,192.9136,OUT049,1999,Medium,Tier 1,Supermarket Type1,2527.3768,train,0.9310779364692868,High Sales,14
FDC02,21.35,Low Fat,0.069102831,Canned,259.9278,OUT018,2009,Medium,Tier 3,Supermarket Type2,6768.5228,train,0.9334195377024119,High Sales,4
FDL50,12.15,Regular,0.042277867,Canned,126.5046,OUT013,1987,High,Tier 3,Supermarket Type1,373.5138,train,0.9980787902561442,High Sales,26
FDM39,6.42,Low Fat,0.089498926,Dairy,178.1002,OUT010,1998,Small,Tier 3,Grocery Store,358.2004,train,1.464116667660315,High Sales,15
NCP05,19.6,Non-Consumable,0.018756953777777776,Health and Hygiene,153.3024,OUT045,2002,Small,Tier 2,Supermarket Type1,2428.8384,train,0.75,Low Sales,11
FDV49,10,Low Fat,0.025879577,Canned,265.2226,OUT045,2002,Small,Tier 2,Supermarket Type1,5815.0972,train,0.9241603460120508,High Sales,11
FDL12,15.85,Regular,0.121632721,Baking Goods,60.622,OUT046,1997,Small,Tier 1,Supermarket Type1,2576.646,train,0.8747287915078714,Low Sales,16
FDS02,12.6,Regular,0.255394896,Dairy,196.8794,OUT019,1985,Small,Tier 1,Grocery Store,780.3176,train,1.6616354111924645,High Sales,28
NCL17,7.39,Non-Consumable,0.067779712,Health and Hygiene,143.8812,OUT046,1997,Small,Tier 1,Supermarket Type1,3134.5864,train,0.8747287887220742,Low Sales,16
FDM40,10.195,Low Fat,0.159803853,Frozen Foods,141.5154,OUT013,1987,High,Tier 3,Supermarket Type1,850.8924,train,0.9328773848835529,Medium Sales,26
FDR13,9.895,Regular,0.028696932,Canned,117.0492,OUT013,1987,High,Tier 3,Supermarket Type1,810.9444,train,0.8740008759338731,High Sales,26
FDA43,10.895,Low Fat,0.065041581,Fruits and Vegetables,196.3794,OUT017,2007,Small,Tier 2,Supermarket Type1,3121.2704,train,0.8796766099576359,High Sales,6
NCP18,12.15,Non-Consumable,0.028760013,Household,151.4708,OUT017,2007,Small,Tier 2,Supermarket Type1,4815.0656,train,0.9275067647960545,High Sales,6
FDK21,7.905,Low Fat,0.010053105,Snack Foods,249.0408,OUT018,2009,Medium,Tier 3,Supermarket Type2,6258.52,train,0.9334195624341675,High Sales,4
NCX54,9.195,Non-Consumable,0.048157338,Household,106.1622,OUT045,2002,Small,Tier 2,Supermarket Type1,2117.244,train,0.9315179298292239,High Sales,11
DRK35,8.365,Low Fat,0.071958197,Hard Drinks,38.0506,OUT049,1999,Medium,Tier 1,Supermarket Type1,796.9626,train,0.8760887617519185,Medium Sales,14
FDY21,15.1,Low Fat,0.173481304,Snack Foods,194.511,OUT046,1997,Small,Tier 1,Supermarket Type1,4910.275,train,0.9513858526903725,High Sales,16
FDI26,12.6,Low Fat,0.061082177,Canned,180.0344,OUT019,1985,Small,Tier 1,Grocery Store,892.172,train,1.6148105887521402,High Sales,28
FDM20,10,Low Fat,0.0364918673,Fruits and Vegetables,246.9144,OUT018,2009,Medium,Tier 3,Supermarket Type2,3185.1872,train,0.8333333333333334,High Sales,4
FDV27,7.97,Regular,0.040071131,Meat,87.3514,OUT045,2002,Small,Tier 2,Supermarket Type1,1062.6168,train,0.8503936434710149,Medium Sales,11
FDF09,12.6,Low Fat,0.012090074,Fruits and Vegetables,38.2848,OUT027,1985,Medium,Tier 3,Supermarket Type3,484.7024,train,0.9251308536486635,High Sales,28
FDY40,12.6,Regular,0.15028599,Frozen Foods,51.0692,OUT019,1985,Small,Tier 1,Grocery Store,147.8076,train,1.5474933749123494,Medium Sales,28
FDY45,12.6,Low Fat,0.026015519,Snack Foods,255.8356,OUT027,1985,Medium,Tier 3,Supermarket Type3,2543.356,train,0.9538823918231123,High Sales,28
FDC46,17.7,Low Fat,0.195068226,Snack Foods,185.4266,OUT010,1998,Small,Tier 3,Grocery Store,184.4266,train,1.5560143953260468,High Sales,15
FDH19,19.35,Low Fat,0.033082215,Meat,172.5738,OUT035,2004,Small,Tier 2,Supermarket Type1,4865.6664,train,0.9221155127052101,Medium Sales,9
FDZ03,13.65,Regular,0.078946455,Dairy,186.024,OUT045,2002,Small,Tier 2,Supermarket Type1,1118.544,train,0.9281228332853192,High Sales,11
DRH37,17.6,Low Fat,0.041700756,Soft Drinks,164.8526,OUT045,2002,Small,Tier 2,Supermarket Type1,2302.3364,train,0.8765027640696679,Low Sales,11
NCI17,8.645,Non-Consumable,0.143422643,Health and Hygiene,95.841,OUT046,1997,Small,Tier 1,Supermarket Type1,2027.361,train,0.9249991148310271,Low Sales,16
FDJ58,15.6,Regular,0.105296072,Snack Foods,170.1764,OUT046,1997,Small,Tier 1,Supermarket Type1,3435.528,train,0.8747287875118144,High Sales,16
FDL12,15.85,Regular,0.121531501,Baking Goods,59.222,OUT013,1987,High,Tier 3,Supermarket Type1,599.22,train,0.8740008619873568,Low Sales,26
FDH35,18.25,Low Fat,0.05810121044444445,Starchy Foods,164.7526,OUT045,2002,Small,Tier 2,Supermarket Type1,4604.6728,train,0.9,High Sales,11
FDG02,7.855,Low Fat,0.011324862,Canned,189.6188,OUT017,2007,Small,Tier 2,Supermarket Type1,2285.0256,train,0.9275067286121007,High Sales,6
NCZ18,7.825,Non-Consumable,0.186357148,Household,254.3698,OUT049,1999,Medium,Tier 1,Supermarket Type1,5580.7356,train,0.9268713929240054,High Sales,14
FDC29,8.39,Regular,0.024205661,Frozen Foods,114.0176,OUT046,1997,Small,Tier 1,Supermarket Type1,2290.352,train,0.9990697616442725,Medium Sales,16
FDQ10,12.85,Low Fat,0.033230816,Snack Foods,172.3422,OUT049,1999,Medium,Tier 1,Supermarket Type1,1207.0954,train,0.9237238339071361,High Sales,14
FDN48,12.6,Low Fat,0.113720344,Baking Goods,89.9804,OUT019,1985,Small,Tier 1,Grocery Store,643.1628,train,1.5315372016230426,Low Sales,28
FDL04,19,Low Fat,0.112556507,Frozen Foods,104.9622,OUT017,2007,Small,Tier 2,Supermarket Type1,1587.933,train,0.9275067671896535,Medium Sales,6
FDV25,5.905,Low Fat,0.04441604033333334,Canned,222.5456,OUT045,2002,Small,Tier 2,Supermarket Type1,5305.0944,train,0.9,High Sales,11
FDD58,7.76,Low Fat,0.059352241,Snack Foods,101.87,OUT046,1997,Small,Tier 1,Supermarket Type1,1697.79,train,0.8747287866525949,High Sales,16
FDN04,11.8,Regular,0.014087057,Frozen Foods,180.3344,OUT046,1997,Small,Tier 1,Supermarket Type1,1427.4752,train,1.0147657505784495,Medium Sales,16
FDV45,16.75,Low Fat,0.045230944,Snack Foods,187.9556,OUT018,2009,Medium,Tier 3,Supermarket Type2,4693.89,train,0.9260469457443702,High Sales,4
NCL18,12.6,Non-Consumable,0.293417759,Household,194.6136,OUT019,1985,Small,Tier 1,Grocery Store,583.2408,train,1.6148105893820424,High Sales,28
FDR12,12.6,Regular,0.031382044,Baking Goods,171.3764,OUT027,1985,Medium,Tier 3,Supermarket Type3,3091.9752,train,0.8704928746102873,Low Sales,28
FDG20,15.5,Regular,0.12639886,Fruits and Vegetables,177.0028,OUT017,2007,Small,Tier 2,Supermarket Type1,2479.4392,train,0.9348909885210056,High Sales,6
FDZ55,6.055,Low Fat,0.025403898,Fruits and Vegetables,160.992,OUT035,2004,Small,Tier 2,Supermarket Type1,2716.464,train,0.9988808402357966,High Sales,9
FDQ49,12.6,Regular,0.039057677,Breakfast,155.963,OUT027,1985,Medium,Tier 3,Supermarket Type3,3285.723,train,0.8673835674751831,Medium Sales,28
FDN33,6.305,Regular,0.123115764,Snack Foods,95.6436,OUT046,1997,Small,Tier 1,Supermarket Type1,661.8052,train,0.9990697475981462,High Sales,16
FDN27,20.85,Low Fat,0.039624006,Meat,117.2808,OUT049,1999,Medium,Tier 1,Supermarket Type1,1523.3504,train,0.9517970383470623,Medium Sales,14
FDW20,20.75,Low Fat,0.040421193,Fruits and Vegetables,122.173,OUT010,1998,Small,Tier 3,Grocery Store,369.519,train,1.5617277461640404,High Sales,15
DRG27,8.895,Low Fat,0.105274111,Dairy,39.9138,OUT049,1999,Medium,Tier 1,Supermarket Type1,690.4346,train,0.9267038048585214,High Sales,14
DRI25,19.6,Low Fat,0.033970195,Soft Drinks,55.1614,OUT045,2002,Small,Tier 2,Supermarket Type1,1381.535,train,0.9315179184271947,Low Sales,11
FDA44,19.7,Low Fat,0.053212652,Fruits and Vegetables,57.893,OUT035,2004,Small,Tier 2,Supermarket Type1,622.523,train,0.9294568248579792,High Sales,9
NCR17,9.8,Non-Consumable,0.024378706,Health and Hygiene,114.5492,OUT035,2004,Small,Tier 2,Supermarket Type1,1274.3412,train,0.9988808191929445,Low Sales,9
FDU04,12.6,Low Fat,0.009714595,Frozen Foods,120.0414,OUT019,1985,Small,Tier 1,Grocery Store,487.3656,train,1.6626731919645845,Medium Sales,28
FDF41,12.15,Low Fat,0.131383762,Frozen Foods,246.046,OUT049,1999,Medium,Tier 1,Supermarket Type1,1231.73,train,0.876088763259926,Medium Sales,14
FDB56,8.75,Regular,0.074613090000000007,Fruits and Vegetables,187.4556,OUT035,2004,Small,Tier 2,Supermarket Type1,3755.112,train,1.0139005933372311,High Sales,9
NCP18,12.6,Non-Consumable,0.028459761,Household,149.9708,OUT027,1985,Medium,Tier 3,Supermarket Type3,4363.6532,train,0.9178236759482314,High Sales,28
FDB56,8.75,Regular,0.074627201,Fruits and Vegetables,187.8556,OUT046,1997,Small,Tier 1,Supermarket Type1,1314.2892,train,1.0140923445604089,High Sales,16
FDT28,13.3,Low Fat,0.063695084,Frozen Foods,151.0708,OUT045,2002,Small,Tier 2,Supermarket Type1,1805.6496,train,0.9241603474535889,Medium Sales,11
FDD10,12.6,Regular,0.045797829,Snack Foods,178.5344,OUT027,1985,Medium,Tier 3,Supermarket Type3,2854.9504,train,0.9285074606550529,High Sales,28
FDW57,8.31,Regular,0.115857223,Snack Foods,179.1028,OUT049,1999,Medium,Tier 1,Supermarket Type1,3896.2616,train,1.0163708730830925,High Sales,14
DRB48,16.75,Regular,0.024832806,Soft Drinks,38.7822,OUT013,1987,High,Tier 3,Supermarket Type1,667.7974,train,0.9322695631328209,Low Sales,26
FDP09,19.75,Low Fat,0.034027909,Snack Foods,212.0902,OUT018,2009,Medium,Tier 3,Supermarket Type2,3185.853,train,0.8782920653990081,High Sales,4
FDH14,17.1,Regular,0.0467696,Canned,141.1838,OUT013,1987,High,Tier 3,Supermarket Type1,2247.7408,train,0.8740008565954395,High Sales,26
FDA47,10.5,Regular,0.116576702,Baking Goods,163.121,OUT013,1987,High,Tier 3,Supermarket Type1,1794.331,train,0.9242793113988635,Low Sales,26
FDG12,6.635,Regular,0.004924115333333334,Baking Goods,121.3098,OUT045,2002,Small,Tier 2,Supermarket Type1,2530.7058,train,0.8181818181818182,Low Sales,11
DRE60,12.6,Low Fat,0.278974075,Soft Drinks,225.372,OUT019,1985,Small,Tier 1,Grocery Store,679.116,train,1.6148105888188795,Low Sales,28
DRK49,14.15,Low Fat,0.035913805,Soft Drinks,41.4138,OUT013,1987,High,Tier 3,Supermarket Type1,812.276,train,0.938241400037113,Low Sales,26
FDD03,13.3,Low Fat,0.079806266,Dairy,232.53,OUT046,1997,Small,Tier 1,Supermarket Type1,699.09,train,0.9990697472460142,High Sales,16
FDS52,8.89,Low Fat,0.005505481,Frozen Foods,102.4016,OUT017,2007,Small,Tier 2,Supermarket Type1,2732.4432,train,0.8796765744587314,Medium Sales,6
FDW39,12.6,Regular,0.064625342,Meat,176.937,OUT019,1985,Small,Tier 1,Grocery Store,176.437,train,1.7376946555050128,Medium Sales,28
FDX34,12.6,Low Fat,0.071636937,Snack Foods,121.7098,OUT027,1985,Medium,Tier 3,Supermarket Type3,4097.3332,train,0.9942317071612333,High Sales,28
FDV11,9.1,Regular,0.078393078375,Breads,173.2054,OUT045,2002,Small,Tier 2,Supermarket Type1,3151.8972,train,0.8888888888888887,High Sales,11
FDD17,7.5,Low Fat,0.032677678,Frozen Foods,239.0906,OUT049,1999,Medium,Tier 1,Supermarket Type1,5942.265,train,0.8727739383621288,Medium Sales,14
FDZ16,16.85,Regular,0.160760054,Frozen Foods,192.4478,OUT017,2007,Small,Tier 2,Supermarket Type1,4843.695,train,0.8767064446129036,Medium Sales,6
FDZ46,7.485,Low Fat,0.06911065,Snack Foods,109.0228,OUT035,2004,Small,Tier 2,Supermarket Type1,2542.0244,train,0.9988808423019976,High Sales,9
DRA12,11.6,Low Fat,0.041177505,Soft Drinks,140.3154,OUT017,2007,Small,Tier 2,Supermarket Type1,2552.6772,train,0.9643049356473631,Low Sales,6
FDY58,11.65,Low Fat,0.040081193,Snack Foods,227.0694,OUT018,2009,Medium,Tier 3,Supermarket Type2,1141.847,train,0.8782920723575603,High Sales,4
NCF19,13,Non-Consumable,0.035307322,Household,47.5034,OUT017,2007,Small,Tier 2,Supermarket Type1,680.4476,train,0.8796766231887589,High Sales,6
DRJ13,12.65,Low Fat,0.063017847,Soft Drinks,159.0578,OUT045,2002,Small,Tier 2,Supermarket Type1,2085.9514,train,0.9315179229166382,Low Sales,11
FDB14,20.25,Regular,0.171938781,Canned,92.512,OUT010,1998,Small,Tier 3,Grocery Store,186.424,train,1.5717317089480713,High Sales,15
FDJ38,8.6,Regular,0.040197932,Canned,190.153,OUT035,2004,Small,Tier 2,Supermarket Type1,3036.048,train,0.9241490579427503,High Sales,9
FDW11,12.6,Low Fat,0.049058014,Breads,62.7194,OUT017,2007,Small,Tier 2,Supermarket Type1,866.8716,train,0.934890991604278,High Sales,6
FDL40,17.7,Low Fat,0.01161096,Frozen Foods,95.041,OUT035,2004,Small,Tier 2,Supermarket Type1,868.869,train,0.9603681061035344,Medium Sales,9
DRI49,14.15,Low Fat,0.183507295,Soft Drinks,82.4276,OUT046,1997,Small,Tier 1,Supermarket Type1,1137.1864,train,0.9990697492376227,Low Sales,16
FDV38,19.25,Low Fat,0.102349519,Dairy,52.7956,OUT017,2007,Small,Tier 2,Supermarket Type1,928.1252,train,0.8796766148142438,High Sales,6
DRG23,8.88,Low Fat,0.086708987,Hard Drinks,151.7682,OUT013,1987,High,Tier 3,Supermarket Type1,762.341,train,0.9327072147064808,Medium Sales,26
NCP30,20.5,Non-Consumable,0.032835147,Household,40.2822,OUT045,2002,Small,Tier 2,Supermarket Type1,707.0796,train,1.0010958955480702,High Sales,11
FDY25,12.6,Low Fat,0.033809913,Canned,180.5976,OUT027,1985,Medium,Tier 3,Supermarket Type3,7968.2944,train,1.0101030662789034,High Sales,28
NCH54,13.5,Non-Consumable,0.07266912,Household,160.292,OUT046,1997,Small,Tier 1,Supermarket Type1,1438.128,train,0.8626517449642818,High Sales,16
NCR53,12.6,Non-Consumable,0.144338493,Health and Hygiene,224.4404,OUT027,1985,Medium,Tier 3,Supermarket Type3,6976.2524,train,0.8675537170348699,Low Sales,28
FDS52,8.89,Low Fat,0.009163216,Frozen Foods,101.7016,OUT010,1998,Small,Tier 3,Grocery Store,101.2016,train,1.4641166615424592,Medium Sales,15
FDG02,7.855,Low Fat,0.011307038,Canned,188.5188,OUT018,2009,Medium,Tier 3,Supermarket Type2,952.094,train,0.92604694217666494,High Sales,4
NCO26,7.235,Non-Consumable,0.076855628,Household,116.0492,OUT046,1997,Small,Tier 1,Supermarket Type1,1969.4364,train,0.9296326048503732,High Sales,16
FDH35,12.6,Low Fat,0.059956876,Starchy Foods,165.4526,OUT027,1985,Medium,Tier 3,Supermarket Type3,5262.4832,train,0.9287446507090747,High Sales,28
FDB51,6.92,Low Fat,0.038532062,Dairy,60.5852,OUT045,2002,Small,Tier 2,Supermarket Type1,1314.2892,train,1.001095885421211,High Sales,11
FDX44,9.3,Low Fat,0.043209581,Fruits and Vegetables,90.8172,OUT017,2007,Small,Tier 2,Supermarket Type1,535.3032,train,0.9275067689403469,High Sales,6
NCN07,18.5,Non-Consumable,0.056816465,Others,132.1284,OUT010,1998,Small,Tier 3,Grocery Store,263.6568,train,1.4641166640747971,Low Sales,15
NCC31,8.02,Non-Consumable,0.019866705,Household,154.5972,OUT035,2004,Small,Tier 2,Supermarket Type1,1402.1748,train,0.871200626611771,High Sales,9
NCX54,9.195,Non-Consumable,0.048331717,Household,105.1622,OUT017,2007,Small,Tier 2,Supermarket Type1,1693.7952,train,0.9348909809950855,High Sales,6
NCO55,12.8,Non-Consumable,0.091221855,Others,105.5938,OUT045,2002,Small,Tier 2,Supermarket Type1,2143.876,train,0.8765027636722214,Low Sales,11
NCC30,16.6,Non-Consumable,0.027622076,Household,177.6344,OUT049,1999,Medium,Tier 1,Supermarket Type1,2676.516,train,0.9310779320436927,High Sales,14
FDI16,14,Regular,0.1416453383,Frozen Foods,53.064,OUT035,2004,Small,Tier 2,Supermarket Type1,905.488,train,0.9090909090909092,Medium Sales,9
FDP16,18.6,Low Fat,0.039355947,Frozen Foods,246.3802,OUT049,1999,Medium,Tier 1,Supermarket Type1,7370.406,train,0.9310779430846442,Medium Sales,14
FDB11,16,Low Fat,0.060836524,Starchy Foods,226.8404,OUT035,2004,Small,Tier 2,Supermarket Type1,6301.1312,train,0.9294568219899724,High Sales,9
NCB06,17.6,Non-Consumable,0.082316506,Health and Hygiene,160.692,OUT035,2004,Small,Tier 2,Supermarket Type1,1597.92,train,0.929456818503636,Low Sales,9
FDA45,21.25,Low Fat,0.155350299,Snack Foods,178.237,OUT035,2004,Small,Tier 2,Supermarket Type1,529.311,train,1.0154208988255191,High Sales,9
NCO26,7.235,Non-Consumable,0.076841095,Household,117.5492,OUT035,2004,Small,Tier 2,Supermarket Type1,1969.4364,train,0.9294568161541141,High Sales,9
DRJ25,14.6,Low Fat,0.151419185,Soft Drinks,50.3692,OUT017,2007,Small,Tier 2,Supermarket Type1,1034.6532,train,0.9348909874937068,Low Sales,6
FDR28,13.85,Regular,0.026001976,Frozen Foods,161.521,OUT018,2009,Medium,Tier 3,Supermarket Type2,1794.331,train,0.9334195337935712,Medium Sales,4
FDI04,13.65,Regular,0.073209447,Frozen Foods,197.6426,OUT018,2009,Medium,Tier 3,Supermarket Type2,2768.3964,train,0.8782920695301611,Medium Sales,4
DRK12,12.6,Low Fat,0.041683481,Soft Drinks,31.29,OUT027,1985,Medium,Tier 3,Supermarket Type3,898.83,train,1.0066596098528127,Low Sales,28
FDX20,7.365,Low Fat,0.042560252,Fruits and Vegetables,226.172,OUT046,1997,Small,Tier 1,Supermarket Type1,3169.208,train,0.9222899096810624,High Sales,16
NCI18,18.35,Non-Consumable,0.014081156,Household,223.5746,OUT018,2009,Medium,Tier 3,Supermarket Type2,3589.9936,train,1.0031395315671328,High Sales,4
FDB36,5.465,Regular,0.030340533875,Baking Goods,132.5626,OUT018,2009,Medium,Tier 3,Supermarket Type2,262.3252,train,0.7272727272727273,Low Sales,4
FDN13,18.6,Low Fat,0.152918384,Breakfast,99.8358,OUT017,2007,Small,Tier 2,Supermarket Type1,1910.1802,train,0.9275067616421127,Medium Sales,6
DRD24,13.85,Low Fat,0.030969274,Soft Drinks,140.9154,OUT017,2007,Small,Tier 2,Supermarket Type1,1701.7848,train,0.879676606596772,Low Sales,6
FDQ28,14,Regular,0.060376776,Frozen Foods,154.5656,OUT013,1987,High,Tier 3,Supermarket Type1,2471.4496,train,0.8710498593152382,Medium Sales,26
FDM22,14,Regular,0.04192285,Snack Foods,54.764,OUT013,1987,High,Tier 3,Supermarket Type1,1331.6,train,0.8707097338343368,High Sales,26
FDR07,12.6,Low Fat,0.077367431,Fruits and Vegetables,97.0094,OUT027,1985,Medium,Tier 3,Supermarket Type3,1808.9786,train,0.8704928811879855,High Sales,28
FDV25,5.905,Low Fat,0.045838211,Canned,222.5456,OUT018,2009,Medium,Tier 3,Supermarket Type2,3315.684,train,0.9288173729669328,High Sales,4
DRF49,7.27,Low Fat,0.071077939,Soft Drinks,114.2518,OUT046,1997,Small,Tier 1,Supermarket Type1,2618.5914,train,0.9222899205805942,Low Sales,16
FDW51,6.155,Regular,0.094659871,Meat,214.556,OUT046,1997,Small,Tier 1,Supermarket Type1,2769.728,train,0.9296326010221123,Medium Sales,16
DRL01,19.5,Regular,0.077608838,Soft Drinks,233.4958,OUT017,2007,Small,Tier 2,Supermarket Type1,5375.0034,train,0.8763641072834327,Low Sales,6
FDP25,15.2,Low Fat,0.021327477,Canned,216.8824,OUT017,2007,Small,Tier 2,Supermarket Type1,2838.9712,train,0.8796766086282273,High Sales,6
