Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Visibility_MeanRatio,Item_Type_Aggregate,Outlet_Years
FDD10,12.6,Regular,0.045797829,178.5344,OUT027,Medium,Tier 3,Supermarket Type3,2854.9504,0.9285074606550529,High Sales,28
FDW57,8.31,Regular,0.115857223,179.1028,OUT049,Medium,Tier 1,Supermarket Type1,3896.2616,1.0163708730830925,High Sales,14
DRB48,16.75,Regular,0.024832806,38.7822,OUT013,High,Tier 3,Supermarket Type1,667.7974,0.9322695631328209,Low Sales,26
FDP09,19.75,Low Fat,0.034027909,212.0902,OUT018,Medium,Tier 3,Supermarket Type2,3185.853,0.8782920653990081,High Sales,4
FDH14,17.1,Regular,0.0467696,141.1838,OUT013,High,Tier 3,Supermarket Type1,2247.7408,0.8740008565954395,High Sales,26
FDA47,10.5,Regular,0.116576702,163.121,OUT013,High,Tier 3,Supermarket Type1,1794.331,0.9242793113988635,Low Sales,26
FDG12,6.635,Regular,0.004924115333333334,121.3098,OUT045,Small,Tier 2,Supermarket Type1,2530.7058,0.8181818181818182,Low Sales,11
DRE60,12.6,Low Fat,0.278974075,225.372,OUT019,Small,Tier 1,Grocery Store,679.116,1.6148105888188795,Low Sales,28
DRK49,14.15,Low Fat,0.035913805,41.4138,OUT013,High,Tier 3,Supermarket Type1,812.276,0.938241400037113,Low Sales,26
FDD03,13.3,Low Fat,0.079806266,232.53,OUT046,Small,Tier 1,Supermarket Type1,699.09,0.9990697472460142,High Sales,16
FDS52,8.89,Low Fat,0.005505481,102.4016,OUT017,Small,Tier 2,Supermarket Type1,2732.4432,0.8796765744587314,Medium Sales,6
FDW39,12.6,Regular,0.064625342,176.937,OUT019,Small,Tier 1,Grocery Store,176.437,1.7376946555050128,Medium Sales,28
FDX34,12.6,Low Fat,0.071636937,121.7098,OUT027,Medium,Tier 3,Supermarket Type3,4097.3332,0.9942317071612333,High Sales,28
FDV11,9.1,Regular,0.078393078375,173.2054,OUT045,Small,Tier 2,Supermarket Type1,3151.8972,0.8888888888888887,High Sales,11
FDD17,7.5,Low Fat,0.032677678,239.0906,OUT049,Medium,Tier 1,Supermarket Type1,5942.265,0.8727739383621288,Medium Sales,14
FDZ16,16.85,Regular,0.160760054,192.4478,OUT017,Small,Tier 2,Supermarket Type1,4843.695,0.8767064446129036,Medium Sales,6
FDZ46,7.485,Low Fat,0.06911065,109.0228,OUT035,Small,Tier 2,Supermarket Type1,2542.0244,0.9988808423019976,High Sales,9
DRA12,11.6,Low Fat,0.041177505,140.3154,OUT017,Small,Tier 2,Supermarket Type1,2552.6772,0.9643049356473631,Low Sales,6
FDY58,11.65,Low Fat,0.040081193,227.0694,OUT018,Medium,Tier 3,Supermarket Type2,1141.847,0.8782920723575603,High Sales,4
NCF19,13,Non-Consumable,0.035307322,47.5034,OUT017,Small,Tier 2,Supermarket Type1,680.4476,0.8796766231887589,High Sales,6
DRJ13,12.65,Low Fat,0.063017847,159.0578,OUT045,Small,Tier 2,Supermarket Type1,2085.9514,0.9315179229166382,Low Sales,11
FDB14,20.25,Regular,0.171938781,92.512,OUT010,Small,Tier 3,Grocery Store,186.424,1.5717317089480713,High Sales,15
FDJ38,8.6,Regular,0.040197932,190.153,OUT035,Small,Tier 2,Supermarket Type1,3036.048,0.9241490579427503,High Sales,9
FDW11,12.6,Low Fat,0.049058014,62.7194,OUT017,Small,Tier 2,Supermarket Type1,866.8716,0.934890991604278,High Sales,6
FDL40,17.7,Low Fat,0.01161096,95.041,OUT035,Small,Tier 2,Supermarket Type1,868.869,0.9603681061035344,Medium Sales,9
DRI49,14.15,Low Fat,0.183507295,82.4276,OUT046,Small,Tier 1,Supermarket Type1,1137.1864,0.9990697492376227,Low Sales,16
FDV38,19.25,Low Fat,0.102349519,52.7956,OUT017,Small,Tier 2,Supermarket Type1,928.1252,0.8796766148142438,High Sales,6
DRG23,8.88,Low Fat,0.086708987,151.7682,OUT013,High,Tier 3,Supermarket Type1,762.341,0.9327072147064808,Medium Sales,26
NCP30,20.5,Non-Consumable,0.032835147,40.2822,OUT045,Small,Tier 2,Supermarket Type1,707.0796,1.0010958955480702,High Sales,11
FDY25,12.6,Low Fat,0.033809913,180.5976,OUT027,Medium,Tier 3,Supermarket Type3,7968.2944,1.0101030662789034,High Sales,28
NCH54,13.5,Non-Consumable,0.07266912,160.292,OUT046,Small,Tier 1,Supermarket Type1,1438.128,0.8626517449642818,High Sales,16
NCR53,12.6,Non-Consumable,0.144338493,224.4404,OUT027,Medium,Tier 3,Supermarket Type3,6976.2524,0.8675537170348699,Low Sales,28
FDS52,8.89,Low Fat,0.009163216,101.7016,OUT010,Small,Tier 3,Grocery Store,101.2016,1.4641166615424592,Medium Sales,15
FDG02,7.855,Low Fat,0.011307038,188.5188,OUT018,Medium,Tier 3,Supermarket Type2,952.094,0.92604694217666494,High Sales,4
NCO26,7.235,Non-Consumable,0.076855628,116.0492,OUT046,Small,Tier 1,Supermarket Type1,1969.4364,0.9296326048503732,High Sales,16
FDH35,12.6,Low Fat,0.059956876,165.4526,OUT027,Medium,Tier 3,Supermarket Type3,5262.4832,0.9287446507090747,High Sales,28
FDB51,6.92,Low Fat,0.038532062,60.5852,OUT045,Small,Tier 2,Supermarket Type1,1314.2892,1.001095885421211,High Sales,11
FDX44,9.3,Low Fat,0.043209581,90.8172,OUT017,Small,Tier 2,Supermarket Type1,535.3032,0.9275067689403469,High Sales,6
NCN07,18.5,Non-Consumable,0.056816465,132.1284,OUT010,Small,Tier 3,Grocery Store,263.6568,1.4641166640747971,Low Sales,15
NCC31,8.02,Non-Consumable,0.019866705,154.5972,OUT035,Small,Tier 2,Supermarket Type1,1402.1748,0.871200626611771,High Sales,9
NCX54,9.195,Non-Consumable,0.048331717,105.1622,OUT017,Small,Tier 2,Supermarket Type1,1693.7952,0.9348909809950855,High Sales,6
NCO55,12.8,Non-Consumable,0.091221855,105.5938,OUT045,Small,Tier 2,Supermarket Type1,2143.876,0.8765027636722214,Low Sales,11
NCC30,16.6,Non-Consumable,0.027622076,177.6344,OUT049,Medium,Tier 1,Supermarket Type1,2676.516,0.9310779320436927,High Sales,14
FDI16,14,Regular,0.1416453383,53.064,OUT035,Small,Tier 2,Supermarket Type1,905.488,0.9090909090909092,Medium Sales,9
FDP16,18.6,Low Fat,0.039355947,246.3802,OUT049,Medium,Tier 1,Supermarket Type1,7370.406,0.9310779430846442,Medium Sales,14
FDB11,16,Low Fat,0.060836524,226.8404,OUT035,Small,Tier 2,Supermarket Type1,6301.1312,0.9294568219899724,High Sales,9
NCB06,17.6,Non-Consumable,0.082316506,160.692,OUT035,Small,Tier 2,Supermarket Type1,1597.92,0.929456818503636,Low Sales,9
FDA45,21.25,Low Fat,0.155350299,178.237,OUT035,Small,Tier 2,Supermarket Type1,529.311,1.0154208988255191,High Sales,9
NCO26,7.235,Non-Consumable,0.076841095,117.5492,OUT035,Small,Tier 2,Supermarket Type1,1969.4364,0.9294568161541141,High Sales,9
DRJ25,14.6,Low Fat,0.151419185,50.3692,OUT017,Small,Tier 2,Supermarket Type1,1034.6532,0.9348909874937068,Low Sales,6
FDR28,13.85,Regular,0.026001976,161.521,OUT018,Medium,Tier 3,Supermarket Type2,1794.331,0.9334195337935712,Medium Sales,4
FDI04,13.65,Regular,0.073209447,197.6426,OUT018,Medium,Tier 3,Supermarket Type2,2768.3964,0.8782920695301611,Medium Sales,4
DRK12,12.6,Low Fat,0.041683481,31.29,OUT027,Medium,Tier 3,Supermarket Type3,898.83,1.0066596098528127,Low Sales,28
FDX20,7.365,Low Fat,0.042560252,226.172,OUT046,Small,Tier 1,Supermarket Type1,3169.208,0.9222899096810624,High Sales,16
NCI18,18.35,Non-Consumable,0.014081156,223.5746,OUT018,Medium,Tier 3,Supermarket Type2,3589.9936,1.0031395315671328,High Sales,4
FDB36,5.465,Regular,0.030340533875,132.5626,OUT018,Medium,Tier 3,Supermarket Type2,262.3252,0.7272727272727273,Low Sales,4
FDN13,18.6,Low Fat,0.152918384,99.8358,OUT017,Small,Tier 2,Supermarket Type1,1910.1802,0.9275067616421127,Medium Sales,6
DRD24,13.85,Low Fat,0.030969274,140.9154,OUT017,Small,Tier 2,Supermarket Type1,1701.7848,0.879676606596772,Low Sales,6
FDQ28,14,Regular,0.060376776,154.5656,OUT013,High,Tier 3,Supermarket Type1,2471.4496,0.8710498593152382,Medium Sales,26
FDM22,14,Regular,0.04192285,54.764,OUT013,High,Tier 3,Supermarket Type1,1331.6,0.8707097338343368,High Sales,26
FDR07,12.6,Low Fat,0.077367431,97.0094,OUT027,Medium,Tier 3,Supermarket Type3,1808.9786,0.8704928811879855,High Sales,28
FDV25,5.905,Low Fat,0.045838211,222.5456,OUT018,Medium,Tier 3,Supermarket Type2,3315.684,0.9288173729669328,High Sales,4
DRF49,7.27,Low Fat,0.071077939,114.2518,OUT046,Small,Tier 1,Supermarket Type1,2618.5914,0.9222899205805942,Low Sales,16
FDW51,6.155,Regular,0.094659871,214.556,OUT046,Small,Tier 1,Supermarket Type1,2769.728,0.9296326010221123,Medium Sales,16
DRL01,19.5,Regular,0.077608838,233.4958,OUT017,Small,Tier 2,Supermarket Type1,5375.0034,0.8763641072834327,Low Sales,6
FDP25,15.2,Low Fat,0.021327477,216.8824,OUT017,Small,Tier 2,Supermarket Type1,2838.9712,0.8796766086282273,High Sales,6
FDL50,12.15,Regular,0.042485444,125.0046,OUT018,Medium,Tier 3,Supermarket Type2,1743.0644,1.0029791841441567,High Sales,4
NCB30,12.6,Non-Consumable,0.025578526,198.8084,OUT027,Medium,Tier 3,Supermarket Type3,5555.4352,0.8588781859041477,High Sales,28
FDW11,12.6,Low Fat,0.0489808,61.9194,OUT018,Medium,Tier 3,Supermarket Type2,619.194,0.9334195363385648,High Sales,4
NCM43,14.5,Non-Consumable,0.019471688,164.821,OUT035,Small,Tier 2,Supermarket Type1,2120.573,0.8745633861423516,Low Sales,9
FDK44,16.6,Low Fat,0.122918852,173.0738,OUT017,Small,Tier 2,Supermarket Type1,3823.0236,0.9300661617477183,High Sales,6
FDM15,11.8,Regular,0.057373797,151.4366,OUT013,High,Tier 3,Supermarket Type1,1360.2294,0.9242293566858494,Medium Sales,26
FDS31,13.1,Regular,0.044155597,178.8318,OUT013,High,Tier 3,Supermarket Type1,3969.4996,1.050188369323889,High Sales,26
FDI32,17.7,Low Fat,0.291865402,115.1834,OUT010,Small,Tier 3,Grocery Store,345.5502,1.4797657517933827,High Sales,15
FDR47,17.85,Low Fat,0.0853547126,196.5794,OUT010,Small,Tier 3,Grocery Store,585.2382,0.909090909090909,High Sales,15
FDB35,12.3,Regular,0.064750025,92.6804,OUT045,Small,Tier 2,Supermarket Type1,1010.6844,0.8765027642551428,High Sales,11
NCU05,11.8,Non-Consumable,0.098312421,81.4618,OUT010,Small,Tier 3,Grocery Store,161.1236,1.556014400369685,Low Sales,15
DRY23,12.6,Regular,0.191013663,42.1112,OUT019,Small,Tier 1,Grocery Store,42.6112,1.614810591823397,Low Sales,28
FDO24,11.1,Low Fat,0.176573035,157.4604,OUT045,Small,Tier 2,Supermarket Type1,3010.7476,0.9620429213503375,Low Sales,11
FDQ28,12.6,Regular,0.060134441,153.0656,OUT027,Medium,Tier 3,Supermarket Type3,6024.1584,0.8675537159031228,Medium Sales,28
FDV39,11.3,Low Fat,0.007294652,198.1426,OUT045,Small,Tier 2,Supermarket Type1,988.713,1.0136095176709476,Medium Sales,11
NCO17,12.6,Non-Consumable,0.128478462,117.944,OUT019,Small,Tier 1,Grocery Store,239.688,1.66158138729929,Low Sales,28
FDU50,5.75,Regular,0.075107656,112.8176,OUT013,High,Tier 3,Supermarket Type1,1374.2112,1.014538423093149,High Sales,26
FDT12,12.6,Regular,0.049381406,226.8062,OUT027,Medium,Tier 3,Supermarket Type3,4739.8302,0.9344755748620249,Low Sales,28
FDK58,11.35,Regular,0.045165796,100.0016,OUT018,Medium,Tier 3,Supermarket Type2,1012.016,0.9529708288112344,High Sales,4
FDO08,12.6,Regular,0.09415375,165.7526,OUT019,Small,Tier 1,Grocery Store,657.8104,1.5263660654326803,High Sales,28
NCW29,14,Non-Consumable,0.028907832,130.431,OUT049,Medium,Tier 1,Supermarket Type1,778.986,0.8760887780212524,Low Sales,14
FDE04,19.75,Regular,0.018059621,179.766,OUT045,Small,Tier 2,Supermarket Type1,2336.958,0.9349382553015971,Medium Sales,11
NCB19,6.525,Non-Consumable,0.090436094,85.0882,OUT049,Medium,Tier 1,Supermarket Type1,2233.0932,0.9237238358273694,High Sales,14
FDV15,10.3,Low Fat,0.146399712,103.9648,OUT049,Medium,Tier 1,Supermarket Type1,1661.8368,0.9237238319507569,Medium Sales,14
FDL58,5.78,Regular,0.074264356,264.7568,OUT049,Medium,Tier 1,Supermarket Type1,4745.8224,0.8732632545533564,High Sales,14
FDA08,11.85,Regular,0.050186726,164.1526,OUT045,Small,Tier 2,Supermarket Type1,3124.5994,0.9266904971470526,High Sales,11
FDT43,16.35,Low Fat,0.020631654,50.1324,OUT018,Medium,Tier 3,Supermarket Type2,467.3916,0.878292055660215,High Sales,4
NCX06,12.6,Non-Consumable,0.01561108,182.5976,OUT027,Medium,Tier 3,Supermarket Type3,5070.7328,0.8704929095813483,High Sales,28
